Date,State,Sector,GDP_Before_COVID,GDP_During_COVID,GDP_Loss_Percent,Unemployment_Rate_Before,Unemployment_Rate_During,Migration_Effect,Recovery_Factor,Govt_Support_Received,Sector_Impact_Score,Health_Index,Lockdown_Severity,Vaccination_Rate,Urban_Rural_Ratio,Inflation_Rate,Population_Affected,Recovery_Progress,Remarks
2019-01-01,Himachal Pradesh,Transport,38079.47,33876.7,11.04,5.76,13.188781323608,0,0.55,797.03,2,56.35,5,28.52,2.08,7.24,453.69,96.16,High Impact
2019-01-31,Karnataka,Manufacturing,95120.72,82525.28,13.24,6.31,16.6389359488722,1,0.72,797.03,3,41.95,4,79.29,0.48,8.83,285.24,41.15,High Impact
2019-03-02,Maharashtra,Mining,73467.4,58827.93,19.93,8.98,12.230889098364,1,0.9,797.03,6,53.35,4,93.77,2.06,4.01,440.24,88.13,High Impact
2019-04-01,Meghalaya,Mining,60267.19,56326.71,6.54,5.38,8.67782965722611,1,0.9,797.03,1,54.92,1,77.91,1.91,5.46,412.09,96.37,Low Impact
2019-05-01,Bihar,Mining,16445.85,11021.45,32.98,9.09,16.658183602783,0,0.33,797.03,2,60.87,4,60.56,1.53,3.57,40.81,94.89,Low Impact
2019-05-31,Madhya Pradesh,Mining,16443.46,10494.91,36.18,3.62,15.0837865335837,1,0.95,797.03,10,69.02,3,24.27,1.37,4.45,104.43,89.36,High Impact
2019-06-30,Madhya Pradesh,Mining,6750.28,6067.74,10.11,8.44,14.5899775837075,1,0.02,797.03,2,67.11,5,52.57,2.68,5.26,73.49,90.54,Medium Impact
2019-07-30,Gujarat,Agriculture,86751.44,65384.77,24.63,8.93,14.1994210025469,0,0.38,797.03,1,32.53,4,23.35,0.89,6.24,415.56,36.01,Medium Impact
2019-08-29,Meghalaya,Finance,60510.39,54243.88,10.36,4.27,12.3368932319788,0,0.9,797.03,3,78.79,1,80.8,1.32,4.38,431.36,23.63,Medium Impact
2019-09-28,Karnataka,Real Estate,71099.19,64883.81,8.74,6.01,17.3144860054503,0,0.27,797.03,10,91.7,4,38.7,1.12,4.37,264.46,67.53,Low Impact
2019-10-28,Tripura,Agriculture,3037.86,1889.12,37.81,4.16,14.5292783284462,0,0.27,797.03,7,52.66,5,83.37,2.36,7.67,52.98,53.93,Medium Impact
2019-11-27,Meghalaya,Finance,97021.08,88212.79,9.08,7.95,19.9048361073321,1,0.3,797.03,1,41.68,2,38.16,2.77,8.78,68.67,18.89,Low Impact
2019-12-27,Assam,Transport,83411.82,63135.38,24.31,6.75,8.97568583202377,0,0.61,797.03,7,65.1,4,82.41,2.58,4.94,406.96,70.98,High Impact
2020-01-26,Tamil Nadu,Trade,22021.57,17147.13,22.13,7.45,10.5785814471276,1,0.44,797.03,5,75.82,3,33.33,2.43,7.13,464.67,60.66,Medium Impact
2020-02-25,Jharkhand,Agriculture,19000.67,15567.39,18.07,4.38,12.4746776336662,0,0.73,797.03,9,74.13,5,44.01,2.96,4.55,100.54,87.68,Medium Impact
2020-03-26,Punjab,Transport,19157.05,17705.6,7.58,4.48,14.6857643933384,0,0.89,797.03,2,69.79,1,61.55,2.15,8.57,6.56,64.83,High Impact
2020-04-25,Uttar Pradesh,Manufacturing,31119.98,18880.2,39.33,3.29,8.14244342306766,1,0.67,797.03,1,39.51,5,7.03,2.3,7.04,166.15,61.66,High Impact
2020-05-25,Maharashtra,Transport,52950.89,40607.78,23.31,5.25,9.64211088034218,1,0.2,797.03,9,84.39,2,94.82,2.95,7.82,16.22,49.67,Medium Impact
2020-06-24,Tamil Nadu,Construction,43762.56,36791.3,15.93,6.92,16.789757993812,1,0.93,797.03,8,57.67,1,57.36,0.22,3.3,414.16,51.65,Medium Impact
2020-07-24,West Bengal,Manufacturing,29831.68,25444.85,14.71,9.01,11.5738185385323,0,0.26,797.03,10,44.4,2,50.78,1.98,6.59,246.26,95.89,Medium Impact
2020-08-23,Madhya Pradesh,Public Administration,61573.44,51868.63,15.76,7.67,13.3638264758258,0,0.15,797.03,6,35.61,2,83.94,2.27,6.17,321.29,22.46,Medium Impact
2020-09-22,Chhattisgarh,Transport,14809.89,9582.77,35.29,6.05,13.1080922259232,1,0.09,797.03,5,57.09,3,86.58,2.77,4.76,206.33,50.16,Medium Impact
2020-10-22,Uttarakhand,Services,29922.32,21088.91,29.52,9.67,17.2734867435032,1,0.56,797.03,8,70.17,4,52.23,2.67,4.57,173.41,69.02,Low Impact
2020-11-21,Maharashtra,Agriculture,37269.82,27041.13,27.44,8.03,17.3161515679277,0,0.11,797.03,8,73.25,3,92.73,2.56,6.48,111.88,48.97,Medium Impact
2020-12-21,Assam,Transport,46150.93,40684.49,11.84,9.51,15.0584572343065,1,0.14,797.03,5,92.58,3,6.47,2.85,7.24,385.5,35.49,Medium Impact
